workload,cycles,kathryn_rtl_sec,ridecore_rtl_sec,wall_sec,kathryn_rtl_cyclePerSec,ridecore_rtl_cyclePerSec
Fibo,3352,0.211998,0.0101842,2.13531,15811.5,329136
Tarai,242444,14.7,0.891384,144.194,16492.8,271986
Cprime,173018,12.9213,0.867795,126.774,13390.2,199376
Acker,21758,1.32521,0.0722739,14.1163,16418.5,301049
Hanoi,11908,0.925606,0.0568957,9.92852,12865.1,209295
Matmul,2707,0.204265,0.0137034,2.78195,13252.4,197542
Sort3,6488,0.446752,0.0316787,4.96373,14522.6,204806
Stencil,5192,0.406958,0.0263899,4.66749,12758.1,196742
Stirling,32639,2.42674,0.141906,23.5132,13449.7,230005
Komachi,1731861,107.097,6.7541,1031.38,16170.9,256416
TOTAL,2231367,140.666,8.86631,1364.46,15862.9,251668
